"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir08Ox-b15690.2",2.0608793830153e-40,0.410739544344204,0.107,0.036,4.05168886700808e-36,"Chir08Ox-b15690.2"
"Chir06Ox-b37110.2",1.10543531131209e-118,0.330120756874976,0.165,0.037,2.17328582203956e-114,"Chir06Ox-b37110.2"
"Chir04Ox-b09150.2",0,0.274226378180708,0.263,0.038,0,"Chir04Ox-b09150.2"
"Chir08Ox-b24020.2",0,0.775188920752772,0.396,0.038,0,"Chir08Ox-b24020.2"
"Chir05Ox-b01000.2",1.02424361765599e-178,0.282519669981356,0.202,0.038,2.01366295231167e-174,"Chir05Ox-b01000.2"
"Chir03Ox-b14490.2",3.01744760971529e-59,0.29009614391583,0.129,0.038,5.93230200070026e-55,"Chir03Ox-b14490.2"
"Chir06Ox-b13450.2",3.70412941067767e-40,0.604785691882998,0.112,0.038,7.2823184213923e-36,"Chir06Ox-b13450.2"
"Chir06Ox-b17360.2",1.83340499463564e-90,0.387120026467489,0.153,0.039,3.60447421945367e-86,"Chir06Ox-b17360.2"
"Chir04Ox-b25120.2",8.15626997238388e-77,0.378280402159293,0.144,0.039,1.60352267657067e-72,"Chir04Ox-b25120.2"
"Chir03Ox-b15040.2",0,2.63272982101169,0.589,0.04,0,"Chir03Ox-b15040.2"
"Chir08Ox-b11150.2",2.71031988865573e-207,0.359320477249203,0.219,0.04,5.32848890109717e-203,"Chir08Ox-b11150.2"
"Chir03Ox-b05330.2",2.32284793910739e-163,0.585707512541162,0.2,0.04,4.56671904828513e-159,"Chir03Ox-b05330.2"
"Chir07Ox-b17830.2",2.49763244706083e-153,0.305291289405535,0.191,0.04,4.91034539092159e-149,"Chir07Ox-b17830.2"
"Chir05Ox-b00260.2",2.190578708711e-30,0.4660879123347,0.105,0.04,4.30667774132582e-26,"Chir05Ox-b00260.2"
"Chir01Ox-b27170.2",0,2.30482807726948,0.772,0.041,0,"Chir01Ox-b27170.2"
"Chir05Ox-b06130.2",0,0.974017542312627,0.414,0.041,0,"Chir05Ox-b06130.2"
"Chir06Ox-b24950.2",1.65945086905796e-290,0.310265987498816,0.261,0.041,3.26248040856795e-286,"Chir06Ox-b24950.2"
"Chir08Ox-b00560.2",0,0.679240425825738,0.425,0.042,0,"Chir08Ox-b00560.2"
"Chir01Ox-b41040.2",3.83567945206559e-103,0.26837735883151,0.169,0.042,7.54094580276094e-99,"Chir01Ox-b41040.2"
"Chir01Ox-b02910.2",1.40936597959882e-57,0.360725351965832,0.135,0.042,2.77081351589127e-53,"Chir01Ox-b02910.2"
"Chir06Ox-b22590.2",0,0.419606053637121,0.394,0.043,0,"Chir06Ox-b22590.2"
"Chir06Ox-b35360.2",0,0.715650426011956,0.54,0.043,0,"Chir06Ox-b35360.2"
"Chir06Ox-b21860.2",9.45031069347207e-138,0.336928445329405,0.195,0.043,1.85793108233661e-133,"Chir06Ox-b21860.2"
"Chir03Ox-b09330.2",0,0.598649628731821,0.342,0.044,0,"Chir03Ox-b09330.2"
"Chir05Ox-b02980.2",0,0.936150034274433,0.335,0.044,0,"Chir05Ox-b02980.2"
"Chir07Ox-b34150.2",0,0.647634671383101,0.291,0.044,0,"Chir07Ox-b34150.2"
"Chir06Ox-b06600.2",5.17868812054283e-154,0.504192936293226,0.204,0.044,1.01813008449872e-149,"Chir06Ox-b06600.2"
"Chir03Ox-b12560.2",0,0.783068303444678,0.414,0.046,0,"Chir03Ox-b12560.2"
"Chir03Ox-b20890.2",7.60937394408687e-263,0.28537029851936,0.263,0.046,1.49600291740748e-258,"Chir03Ox-b20890.2"
"Chir04Ox-b25860.2",1.45223058369425e-117,1.43450379705375,0.186,0.046,2.85508532754289e-113,"Chir04Ox-b25860.2"
"Chir04Ox-b23870.2",0,1.05321566652266,0.421,0.047,0,"Chir04Ox-b23870.2"
"Chir04Ox-b17740.2",2.56553769985337e-281,0.302470349934925,0.276,0.047,5.04384711791172e-277,"Chir04Ox-b17740.2"
"Chir06Ox-b21260.2",1.39329960514484e-255,0.372183613341063,0.263,0.047,2.73922702371475e-251,"Chir06Ox-b21260.2"
"Chir04Ox-b05930.2",8.11585960524264e-206,0.409492681254148,0.24,0.047,1.5955779983907e-201,"Chir04Ox-b05930.2"
"Chir08Ox-b25200.2",1.07208292328992e-183,0.561386827427421,0.227,0.047,2.10771502718798e-179,"Chir08Ox-b25200.2"
"Chir06Ox-b32380.2",4.34009207027148e-148,0.300457190407909,0.207,0.047,8.53262101015373e-144,"Chir06Ox-b32380.2"
"Chir04Ox-b18820.2",0,0.96307692106114,0.6,0.048,0,"Chir04Ox-b18820.2"
"Chir04Ox-b25840.2",2.72898646166534e-46,0.301301125825259,0.135,0.048,5.36518738363407e-42,"Chir04Ox-b25840.2"
"Chir01Ox-b08360.2",2.85077748507757e-166,0.407808380398023,0.221,0.049,5.6046285356625e-162,"Chir01Ox-b08360.2"
"Chir08Ox-b16470.2",0,1.16552461223435,0.448,0.05,0,"Chir08Ox-b16470.2"
"Chir08Ox-b25320.2",0,0.501794584892084,0.322,0.05,0,"Chir08Ox-b25320.2"
"Chir06Ox-b33620.2",1.50270761596156e-306,0.494319881715799,0.295,0.05,2.95432317298043e-302,"Chir06Ox-b33620.2"
"Chir07Ox-b28990.2",0,0.687797063690321,0.353,0.051,0,"Chir07Ox-b28990.2"
"Chir06Ox-b25690.2",2.07639822349224e-266,0.272133861604032,0.285,0.053,4.08219890738575e-262,"Chir06Ox-b25690.2"
"Chir04Ox-b21900.2",5.76813100033875e-186,0.844418059239064,0.248,0.053,1.1340145546666e-181,"Chir04Ox-b21900.2"
"Chir04Ox-b11700.2",5.60342738954792e-175,0.336007551576386,0.238,0.053,1.10163382478512e-170,"Chir04Ox-b11700.2"
"Chir02Ox-b08950.2",4.47699136328003e-39,0.421551829651996,0.138,0.053,8.80176502020855e-35,"Chir02Ox-b08950.2"
"Chir05Ox-b15790.2",3.59202125745054e-19,0.304346535777652,0.109,0.053,7.06191379214777e-15,"Chir05Ox-b15790.2"
"Chir01Ox-b39450.2",2.09147260664117e-16,0.275545099288065,0.103,0.053,4.11183514465653e-12,"Chir01Ox-b39450.2"
"Chir08Ox-b08540.2",0,1.02090556675445,0.432,0.054,0,"Chir08Ox-b08540.2"
"Chir01Ox-b20860.2",3.16632136878824e-234,0.445524880673827,0.274,0.054,6.22498781103768e-230,"Chir01Ox-b20860.2"
"Chir01Ox-b09790.2",7.51121819403797e-91,0.346182974568801,0.186,0.054,1.47670549694786e-86,"Chir01Ox-b09790.2"
"Chir05Ox-b22400.2",0,1.14006027670636,0.594,0.055,0,"Chir05Ox-b22400.2"
"Chir05Ox-b27800.2",0,1.64873164441147,0.499,0.055,0,"Chir05Ox-b27800.2"
"Chir03Ox-b14200.2",7.72333365044674e-226,0.58072708131344,0.266,0.055,1.51840739567783e-221,"Chir03Ox-b14200.2"
"Chir07Ox-b25260.2",6.70352727870591e-43,0.708273506728282,0.142,0.055,1.31791346299358e-38,"Chir07Ox-b25260.2"
"Chir08Ox-b02880.2",0,0.358276276614471,0.371,0.056,0,"Chir08Ox-b02880.2"
"Chir04Ox-b27110.2",6.57000140160554e-77,0.798107372850141,0.175,0.056,1.29166227555565e-72,"Chir04Ox-b27110.2"
"Chir03Ox-b14600.2",0,1.46343772821779,0.353,0.057,0,"Chir03Ox-b14600.2"
"Chir03Ox-b30730.2",0,1.12540707224828,0.591,0.057,0,"Chir03Ox-b30730.2"
"Chir01Ox-b05830.2",2.4544761526325e-214,0.473411251870532,0.267,0.057,4.82550011607549e-210,"Chir01Ox-b05830.2"
"Chir07Ox-b01780.2",3.1537658716886e-123,0.323693684401362,0.216,0.057,6.20030370373978e-119,"Chir07Ox-b01780.2"
"Chir02Ox-b20860.2",7.66583185219826e-56,0.383458025720715,0.161,0.057,1.50710254214218e-51,"Chir02Ox-b20860.2"
"Chir08Ox-b06940.2",0,2.01477631853984,0.606,0.059,0,"Chir08Ox-b06940.2"
"Chir06Ox-b07540.2",5.47887922791449e-142,0.297626029171688,0.231,0.059,1.07714765620799e-137,"Chir06Ox-b07540.2"
"Chir03Ox-b31670.2",1.98723696132187e-137,0.683113539182373,0.234,0.06,3.9069078659588e-133,"Chir03Ox-b31670.2"
"Chir02Ox-b15670.2",4.519756732303e-122,0.272350897111559,0.22,0.06,8.88584173570769e-118,"Chir02Ox-b15670.2"
"Chir05Ox-b18880.2",0,0.476525629566754,0.389,0.062,0,"Chir05Ox-b18880.2"
"Chir05Ox-b02870.2",7.76527912685002e-43,0.309562617364865,0.156,0.062,1.52665387633871e-38,"Chir05Ox-b02870.2"
"Chir07Ox-b21070.2",0,1.15015276922117,0.764,0.063,0,"Chir07Ox-b21070.2"
"Chir08Ox-b28560.2",1.71877317524478e-222,1.12940900948158,0.288,0.063,3.37910806253124e-218,"Chir08Ox-b28560.2"
"Chir07Ox-b35940.2",1.22549586047193e-84,0.790750368955392,0.198,0.063,2.40932486168781e-80,"Chir07Ox-b35940.2"
"Chir01Ox-b15800.2",0,0.48387943429576,0.381,0.064,0,"Chir01Ox-b15800.2"
"Chir08Ox-b05540.2",0,1.48159099012146,0.634,0.064,0,"Chir08Ox-b05540.2"
"Chir02Ox-b18790.2",0,1.26223461136546,0.636,0.065,0,"Chir02Ox-b18790.2"
"Chir06Ox-b37830.2",1.18968918679156e-125,0.285139016907403,0.231,0.065,2.33892894123222e-121,"Chir06Ox-b37830.2"
"Chir05Ox-b22660.2",1.49980794608346e-150,0.311791791586149,0.249,0.066,2.94862242200009e-146,"Chir05Ox-b22660.2"
"Chir07Ox-b25110.2",1.38289490000948e-89,0.302628504431943,0.206,0.066,2.71877137341863e-85,"Chir07Ox-b25110.2"
"Chir08Ox-b13980.2",2.0754083530384e-24,0.286020929606819,0.138,0.066,4.08025282207349e-20,"Chir08Ox-b13980.2"
"Chir07Ox-b27780.2",0,0.612110159103226,0.47,0.067,0,"Chir07Ox-b27780.2"
