gene_id,PR05826,PR05827,PR05851,,Genotype,BLS:STM
AT5G45720,1.82162371,2.703319494,0.981198839,,,
AT5G45730,1.366800351,1.640225851,1.56365468,,,
AT5G45740,5.572745832,4.920677554,3.008781599,,,
AT5G45750,110.8762948,111.2141155,76.47643424,,,
AT5G45760,26.17724029,29.68933739,14.57967217,,,
AT5G45770,0,0,0,,,
AT5G45775,524.432877,487.4529396,220.6965965,,,
AT5G45780,27.31141002,25.82655619,7.655759164,,,
AT5G45790,4.733469729,5.038102814,1.546103454,,,
AT5G45800,18.92159217,13.87398684,11.70222073,,,
AT5G45810,0,0,0,,,
AT5G45820,1.012632828,1.948700145,1.139234124,,,
AT5G45830,1.171028087,2.184393246,0.245236308,,,
AT5G45840,0.175872548,0,0.607714303,,,
AT5G45850,1.78892482,1.477030734,0.361256176,,,
AT5G45860,0.831504418,0,0,,,
AT5G45870,0,0,0,,,
AT5G45875,0,0,0,,,
AT5G45880,0,0,0,,,
AT5G45890,0,0,0,,,
AT5G45900,8.788252113,8.389120758,3.744596813,,,
AT5G45910,0,0,0,,,
AT5G45920,8.135316585,11.83910953,5.178336926,,,
AT5G45930,28.73613321,27.30153972,24.31117075,,,
AT5G45940,11.80225725,7.174149281,7.385681828,,,
AT5G45950,34.24032996,38.58367871,24.40306774,,,
AT5G45960,5.318702357,5.450697344,1.380758683,,,
AT5G45970,0,0,0,,,
AT5G45973,0,0,0,,,
AT5G45980,0,0,0,,,
AT5G45990,0,0,0,,,
AT5G46000,0,0,0,,,
AT5G46010,0,0,0,,,
AT5G46013,0,0,0,,,
AT5G46020,482.9866094,502.7963236,385.8206233,,,
AT5G46025,0,0,0,,,
AT5G46030,152.6870471,150.6245833,149.7279134,,,
AT5G46040,0,0,0,,,
AT5G46050,0.195506119,0.448389357,4.084046859,,,
AT5G46060,0,0,0,,,
AT5G46070,30.33919187,30.76105006,12.87705739,,,
AT5G46080,2.489327155,1.695638887,1.344012802,,,
AT5G46090,0,0,0,,,
AT5G46100,3.943188944,2.122237254,0.719117885,,,
AT5G46110,284.2527373,300.0947952,437.0559044,,,
AT5G46115,0,0,0,,,
AT5G46130,0,0,0,,,
AT5G46140,0,0,0,,,
AT5G46150,21.80802552,18.32916628,16.96550485,,,
AT5G46160,86.82494139,87.07690387,47.53356172,,,
AT5G46170,12.61211945,8.264812268,8.363425115,,,
AT5G46180,20.52773172,21.04468347,15.23195685,,,
AT5G46190,11.69520632,13.32588142,10.71359488,,,
AT5G46200,0,0,0,,,
AT5G46210,37.25291428,38.91166943,31.33458224,,,
AT5G46220,0.671392502,0,0.309326143,,,
AT5G46230,2.446541844,3.993779091,5.718774471,,,
AT5G46240,1.023956087,0.231337164,1.980337447,,,
AT5G46250,56.29189645,53.91370026,69.36593049,,,
AT5G46260,0,0,0.519551217,,,
AT5G46270,0.445376658,0,2.355559279,,,
AT5G46280,15.21601223,18.1137297,5.460532011,,,
AT5G46290,86.00314154,86.08424115,56.9218496,,,
AT5G46295,0,0,1.989138946,,,
AT5G46300,0,0,0,,,
