GeneID,log2FC_Ox_WT_leaf_protoplast,Ox.leaf.vs.protoplast_q_value
Chir04Ox_b22210.2,3.424167909,5.03E-12
Chir03Ox_b14310.2,2.596236975,5.47E-12
Chir03Ox_b19410.2,2.612487696,5.54E-12
Chir05Ox_b16140.2,3.79561027,5.95E-12
Chir07Ox_b23050.2,2.94102469,6.00E-12
Chir01Ox_b17260.2,4.071693183,6.50E-12
Chir06Ox_b27560.2,2.419841635,6.61E-12
Chir01Ox_b17940.2,2.337366831,6.61E-12
Chir03Ox_b20540.2,2.306162549,7.05E-12
Chir01Ox_b23250.2,2.635976675,8.25E-12
Chir08Ox_b06880.2,3.223614029,9.05E-12
Chir04Ox_b14070.2,5.035842857,9.52E-12
Chir08Ox_b04280.2,3.039778365,9.52E-12
Chir05Ox_b22470.2,2.316512052,1.04E-11
Chir06Ox_b29720.2,3.384957709,1.05E-11
Chir08Ox_b25280.2,2.406804615,1.08E-11
Chir01Ox_b20280.2,2.246766601,1.13E-11
Chir03Ox_b11060.2,2.417218159,1.24E-11
Chir07Ox_b29320.2,2.23459053,1.37E-11
Chir03Ox_b21320.2,2.185439858,1.39E-11
Chir06Ox_b27400.2,2.191601288,1.42E-11
Chir03Ox_b05230.2,3.095707736,1.60E-11
Chir07Ox_b24430.2,2.680925216,1.86E-11
Chir04Ox_b30210.2,2.489665532,1.94E-11
Chir03Ox_b14860.2,2.674142242,2.13E-11
Chir01Ox_b07370.2,3.967239054,2.33E-11
Chir05Ox_b18200.2,2.985442708,2.37E-11
Chir07Ox_b14290.2,2.597821382,2.89E-11
Chir08Ox_b29610.2,2.606649307,2.97E-11
Chir05Ox_b11450.2,2.598214727,3.12E-11
Chir08Ox_b04210.2,4.240588048,4.11E-11
Chir05Ox_b10450.2,2.466038543,4.31E-11
Chir01Ox_b26560.2,3.307829582,5.25E-11
Chir01Ox_b26550.2,2.131125887,5.32E-11
Chir08Ox_b30360.2,2.781796136,5.35E-11
Chir08Ox_b24330.2,2.351459058,5.45E-11
Chir04Ox_b21750.2,2.731038878,6.38E-11
Chir02Ox_b06760.2,2.370825832,7.20E-11
Chir07Ox_b11810.2,2.434212751,9.29E-11
Chir01Ox_b17950.2,2.40668642,9.29E-11
Chir05Ox_b17850.2,2.417893803,9.33E-11
Chir08Ox_b13640.2,2.253214391,9.35E-11
Chir04Ox_b28500.2,2.040082685,9.35E-11
Chir03Ox_b35590.2,2.242775151,9.82E-11
Chir06Ox_b00940.2,2.214124014,9.82E-11
Chir08Ox_b27100.2,2.462369612,1.18E-10
Chir08Ox_b12210.2,2.107528328,1.30E-10
Chir01Ox_b43140.2,3.314545474,1.82E-10
Chir07Ox_b20020.2,2.215757026,1.90E-10
Chir01Ox_b17270.2,3.515537056,1.95E-10
Chir08Ox_b12860.2,2.422680036,2.00E-10
Chir02Ox_b26550.2,2.005490299,2.20E-10
Chir01Ox_b18240.2,2.33820242,2.25E-10
Chir01Ox_b27900.2,2.24544414,2.31E-10
Chir01Ox_b28230.2,3.296770903,2.70E-10
Chir08Ox_b18010.2,2.225903863,2.80E-10
Chir03Ox_b32340.2,2.641715297,3.09E-10
Chir06Ox_b00160.2,2.141926472,3.15E-10
Chir07Ox_b21480.2,1.88887893,3.58E-10
Chir07Ox_b00110.2,2.693123222,3.92E-10
Chir03Ox_b19820.2,2.236446088,4.08E-10
Chir01Ox_b11880.2,2.300983678,4.22E-10
Chir01Ox_b16150.2,2.572980574,4.41E-10
Chir06Ox_b07420.2,2.185270711,4.56E-10
Chir01Ox_b42050.2,2.100927992,5.09E-10
Chir07Ox_b31580.2,4.605210297,5.57E-10
Chir01Ox_b20020.2,2.447247118,5.81E-10
Chir07Ox_b17880.2,2.568666761,5.93E-10
Chir05Ox_b00160.2,2.272635698,6.71E-10
Chir01Ox_b19010.2,2.651397127,6.95E-10
Chir05Ox_b07630.2,2.664175463,7.03E-10
Chir04Ox_b27310.2,2.361946035,7.06E-10
Chir02Ox_b01280.2,2.176637635,7.86E-10
Chir01Ox_b09660.2,2.171022735,7.86E-10
Chir05Ox_b03030.2,2.267430173,8.14E-10
Chir03Ox_b10670.2,2.154102193,8.52E-10
Chir05Ox_b22740.2,2.464853381,9.79E-10
Chir08Ox_b13020.2,3.181955442,1.01E-09
Chir01Ox_b19270.2,2.4784317,1.03E-09
Chir07Ox_b06640.2,2.260479434,1.22E-09
Chir03Ox_b06830.2,2.103413765,1.28E-09
Chir05Ox_b12860.2,2.570083701,1.31E-09
Chir01Ox_b06750.2,2.13146348,1.34E-09
Chir05Ox_b26910.2,2.463258105,1.42E-09
Chir01Ox_b24310.2,2.256042739,1.47E-09
Chir06Ox_b11310.2,4.390488109,1.94E-09
Chir07Ox_b34590.2,3.564195768,1.99E-09
Chir01Ox_b16100.2,3.066544606,1.99E-09
Chir01Ox_b33800.2,2.639204015,2.19E-09
Chir03Ox_b13740.2,2.344891042,2.42E-09
Chir03Ox_b24240.2,1.948311075,2.42E-09
Chir02Ox_b23780.2,4.006104399,2.46E-09
Chir01Ox_b20000.2,1.976152253,2.46E-09
Chir01Ox_b01340.2,3.830197805,2.57E-09
Chir08Ox_b00960.2,5.543055798,2.78E-09
Chir01Ox_b26510.2,3.432787129,3.15E-09
Chir02Ox_b23730.2,1.954108684,3.17E-09
Chir08Ox_b14810.2,1.920295297,3.24E-09
Chir05Ox_b28100.2,1.991617518,3.43E-09
Chir02Ox_b03250.2,2.175494234,3.95E-09
Chir02Ox_b26420.2,2.120408427,4.10E-09
