"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003755","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","6/472","61/21875",0.00199102225970319,0.0202213198251105,0.016504526626487,"NA/NA/NA/CYP20-3/NA/ATFKBP13",6
"GO:0016903","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","6/472","62/21875",0.0021649441294899,0.0213214194570975,0.0174024217107322,"GAPA-2/GAPB/ALDH3H1/ALDH7B4/AtHEMA1/ATP5CS",6
"GO:0016830","GO:0016830","carbon-carbon lyase activity","8/472","110/21875",0.00266297402849442,0.0248497647431757,0.020282237134511,"DHNS/RBCS1A/AtFBA1/HEME2/HEME1/TRP3/AtFBA2/RBCS1B",8
"GO:0019842","GO:0019842","vitamin binding","9/472","135/21875",0.00267612851080353,0.0248497647431757,0.020282237134511,"AOAT1/ATMGL/AtGLDP2/AGT3/ACS1/ARATH;BSAS3;1/ATCYS-3A/SHM1/GSA1",9
"GO:0016859","GO:0016859","cis-trans isomerase activity","6/472","66/21875",0.00297729002975455,0.0268783127686175,0.0219379265350335,"NA/NA/NA/CYP20-3/NA/ATFKBP13",6
"GO:0050661","GO:0050661","NADP binding","6/472","67/21875",0.00321181584879233,0.0282118959691218,0.023026389584514,"GAPA-2/GAPB/AtHEMA1/FMO/AKR4C9/DXR",6
"GO:0016829","GO:0016829","lyase activity","16/472","343/21875",0.00339134065553602,0.0290048871855055,0.0236736245206393,"DHNS/ATMGL/RBCS1A/AtGLYI6/ALAD1/AtFBA1/HEME2/ATBCA1/HEME1/TRP3/ARATH;BSAS3;1/TSB2/AtFBA2/AtNIT4/RBCS1B/ATP1",16
"GO:0050308","GO:0050308","sugar-phosphatase activity","3/472","15/21875",0.00374363237720717,0.0311969364767264,0.025462762727563,"AtcFBP/cfbp1/SBPASE",3
"GO:0005509","GO:0005509","calcium ion binding","13/472","263/21875",0.00490432582105785,0.039847647296095,0.0325234238659626,"OE23/PnsL2/AtTSA1/AtNCL/NA/NA/PnsL1/PPL1/PSBQ/PSBQ/ABI1/NA/NA",13
"GO:0008483","GO:0008483","transaminase activity","5/472","52/21875",0.00517103383222077,0.0409899023285793,0.0334557259491562,"ATBCAT-2/AOAT1/AGT/AGT3/GSA1",5
"GO:0003746","GO:0003746","translation elongation factor activity","3/472","17/21875",0.00541875426463764,0.0417269189613079,0.0340572747473671,"NA/ATRAB8D/emb2726",3
"GO:0008047","GO:0008047","enzyme activator activity","8/472","124/21875",0.00552079235488074,0.0417269189613079,0.0340572747473671,"ATHM1/ATHX/ATMKK9/RCA/NTRC/ATF1/ATHM4/ATHM2",8
"GO:0016857","GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives","4/472","34/21875",0.00594619007942821,0.0439207221775947,0.0358478444979882,"NDF2/GME/EMB2728/NA",4
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","9/472","156/21875",0.00689062476926706,0.0497656233335954,0.0406184196925216,"ACS1/ATGSTF11/ATHST/ATG4/ARATH;BSAS3;1/ATCYS-3A/AtDAHP1/DHAR3/ATSPDS3",9
"GO:0015036","GO:0015036","disulfide oxidoreductase activity","6/472","80/21875",0.00765969980522258,0.0537239583253176,0.0438491902768584,"ATHM1/ATHX/NTRC/ATHM4/ATHM2/DHAR3",6
"GO:0009055","GO:0009055","electron transfer activity","9/472","159/21875",0.0077693108962767,0.0537239583253176,0.0438491902768584,"PnsL2/DRT112/FdC2/ATFD2/PETC/PSBQ/PSBQ/NA/ATLFNR1",9
"GO:0004222","GO:0004222","metalloendopeptidase activity","5/472","61/21875",0.0101150729396331,0.0684874730287657,0.0558990872979723,"NA/FTSH1/FTSH2/NA/FTSH5",5
"GO:0016832","GO:0016832","aldehyde-lyase activity","3/472","22/21875",0.0113323796763461,0.0751637427512752,0.0613482208042796,"AtFBA1/TRP3/AtFBA2",3
"GO:0016836","GO:0016836","hydro-lyase activity","6/472","88/21875",0.0119757495370181,0.0778423719906176,0.063534502806917,"ALAD1/ATBCA1/TRP3/TSB2/AtNIT4/ATP1",6
"GO:0016854","GO:0016854","racemase and epimerase activity","4/472","43/21875",0.0135990633737081,0.0866606979697084,0.0707319704886365,"NDF2/GME/EMB2728/NA",4
"GO:0016874","GO:0016874","ligase activity","10/472","211/21875",0.0166817266239115,0.104260791399447,0.0850970669883746,"ALB-1V/CTPS1/GH3.3/ASN1/AAE3/ATPC1/ATPD/CH-42/ABAR/ATGSL1",10
"GO:0004602","GO:0004602","glutathione peroxidase activity","2/472","10/21875",0.0186417039472962,0.110155523324932,0.0899083137745194,"ATGPX1/ATGPX2",2
"GO:0008379","GO:0008379","thioredoxin peroxidase activity","2/472","10/21875",0.0186417039472962,0.110155523324932,0.0899083137745194,"2CPA/ATPRX",2
"GO:0051920","GO:0051920","peroxiredoxin activity","2/472","10/21875",0.0186417039472962,0.110155523324932,0.0899083137745194,"2CPA/ATPRX",2
"GO:0042802","GO:0042802","identical protein binding","15/472","387/21875",0.0216401925205926,0.123734777310169,0.100991623909839,"ATTOC33/ATCPO-I/CTPS1/Lhca5/ATBG1/AtMC4/ATSULA/ATOEP16-1/PEX11D/AtCLA1/LIL3:1/PGR5-LIKE/AtbZIP63/LIL3:2/GSA1",15
"GO:0019203","GO:0019203","carbohydrate phosphatase activity","3/472","28/21875",0.0219230252072503,0.123734777310169,0.100991623909839,"AtcFBP/cfbp1/SBPASE",3
"GO:0008135","GO:0008135","translation factor activity, RNA binding","6/472","101/21875",0.0222340354012143,0.123734777310169,0.100991623909839,"FUG1/NA/APG3/ATRAB8D/emb2726/HCF244",6
"GO:0016744","GO:0016744","transferase activity, transferring aldehyde or ketonic groups","2/472","11/21875",0.0224626211116923,0.123734777310169,0.100991623909839,"AtTKL1/AtCLA1",2
"GO:0051287","GO:0051287","NAD binding","5/472","75/21875",0.0230203346975024,0.124693479611472,0.101774111294221,"GAPA-2/GAPB/ATHPR1/GME/atnudt8",5
"GO:0050897","GO:0050897","cobalt ion binding","4/472","51/21875",0.0240911924852076,0.128354714060532,0.104762390099608,"ATCAT3/CAT2/SHM1/GDH2",4
"GO:0004029","GO:0004029","aldehyde dehydrogenase (NAD+) activity","2/472","12/21875",0.0265752799113904,0.137094697955585,0.111895915416381,"ALDH3H1/ALDH7B4",2
"GO:0004030","GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","2/472","12/21875",0.0265752799113904,0.137094697955585,0.111895915416381,"ALDH3H1/ALDH7B4",2
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","3/472","31/21875",0.0286928949703075,0.143464474851538,0.117094891214858,"CRR23/NDH-O/ATMDAR1",3
"GO:0016846","GO:0016846","carbon-sulfur lyase activity","3/472","31/21875",0.0286928949703075,0.143464474851538,0.117094891214858,"ATMGL/AtGLYI6/ARATH;BSAS3;1",3
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","5/472","81/21875",0.0308178607151292,0.151754617157833,0.123861258376596,"NA/BDS2/AtcpRRF/emb2726/NA",5
"GO:0004175","GO:0004175","endopeptidase activity","13/472","337/21875",0.0321229873642059,0.155820461095029,0.127179777152866,"CLPP5/CLP2/NA/CLPR1/FTSH1/AtMC4/FTSH2/CLPR4/NA/RD19/FTSH5/RD21B/CLPP4",13
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding","6/472","112/21875",0.0345685683562242,0.165217422290777,0.134849523618707,"FUG1/NA/APG3/ATRAB8D/emb2726/HCF244",6
"GO:0045182","GO:0045182","translation regulator activity","6/472","116/21875",0.0399643229064545,0.186160034802649,0.15194276524783,"FUG1/NA/APG3/ATRAB8D/emb2726/HCF244",6
"GO:0008237","GO:0008237","metallopeptidase activity","5/472","87/21875",0.0400960074959551,0.186160034802649,0.15194276524783,"NA/FTSH1/FTSH2/NA/FTSH5",5
"GO:0016638","GO:0016638","oxidoreductase activity, acting on the CH-NH2 group of donors","3/472","37/21875",0.0451508301722508,0.206123048348855,0.16823646375356,"AtGLDP2/FD-GOGAT/GDH2",3
"GO:0046933","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","2/472","16/21875",0.0456641830188233,0.206123048348855,0.16823646375356,"ATPC1/ATPD",2
"GO:0008378","GO:0008378","galactosyltransferase activity","3/472","38/21875",0.0482625938462333,0.214867712329121,0.175373808929355,"ATSFR2/EMB2797/DIN10",3
"GO:0015252","GO:0015252","proton channel activity","2/472","17/21875",0.0510302401860481,0.2241192981144,0.182924900809162,"ATPC1/ATPD",2
"GO:0015035","GO:0015035","protein disulfide oxidoreductase activity","4/472","66/21875",0.054208550455426,0.234903718640179,0.191727083716033,"ATHM1/ATHX/ATHM4/ATHM2",4
"GO:0008146","GO:0008146","sulfotransferase activity","2/472","18/21875",0.0566090812333026,0.239364859336942,0.195368241466913,"ATSOT16/NA",2
"GO:0016831","GO:0016831","carboxy-lyase activity","4/472","67/21875",0.0567110589813678,0.239364859336942,0.195368241466913,"RBCS1A/HEME2/HEME1/RBCS1B",4
"GO:0016861","GO:0016861","intramolecular oxidoreductase activity, interconverting aldoses and ketoses","2/472","19/21875",0.0623890685912292,0.259954452463455,0.212173350674626,"PDTPI/EMB3119",2
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","8/472","202/21875",0.0722875300540196,0.2965476904673,0.242040544122299,"ATHPR1/AKR4C9/GOX2/GOX1/NA/ATCAD7/NADP-MDH/DXR",8
"GO:0016879","GO:0016879","ligase activity, forming carbon-nitrogen bonds","4/472","73/21875",0.0729963545765663,0.2965476904673,0.242040544122299,"CTPS1/GH3.3/ASN1/ATGSL1",4
"GO:0019239","GO:0019239","deaminase activity","2/472","21/21875",0.0745079264593951,0.298951556781524,0.244002566182814,"RidA/GSDA",2
"GO:0071949","GO:0071949","FAD binding","4/472","76/21875",0.0819363197285003,0.324747608680032,0.265057157529937,"AtBBE16/MTHFR1/ACX1/ABA1",4
"GO:0016899","GO:0016899","oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor","2/472","24/21875",0.0939263198540355,0.367783782560983,0.300183038721838,"GOX2/GOX1",2
"GO:0016810","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","6/472","146/21875",0.0968865186059399,0.374858554130125,0.305957427176652,"ILL6/RidA/ATJRG21/JAO2/AtNIT4/GSDA",6
"GO:0033218","GO:0033218","amide binding","5/472","114/21875",0.100785859876136,0.385357699526404,0.314526770139769,"AERD2/ACBP/ATGSTF11/CYP20-3/54CP",5
"GO:0030145","GO:0030145","manganese ion binding","3/472","53/21875",0.106327230006622,0.401818020373862,0.3279615907181,"PSBY/ATGER3/DXR",3
"GO:0005384","GO:0005384","manganese ion transmembrane transporter activity","2/472","28/21875",0.121729882861143,0.449570590112178,0.366936967476174,"CMT1/MEB1",2
"GO:0016597","GO:0016597","amino acid binding","2/472","28/21875",0.121729882861143,0.449570590112178,0.366936967476174,"AtGLDP2/SHM1",2
"GO:0004252","GO:0004252","serine-type endopeptidase activity","5/472","122/21875",0.124481814452747,0.451162371139819,0.368236170128694,"CLPP5/CLP2/CLPR1/CLPR4/CLPP4",5
"GO:0050660","GO:0050660","flavin adenine dinucleotide binding","6/472","157/21875",0.12493727200795,0.451162371139819,0.368236170128694,"FMO/AtBBE16/ATMDAR1/MTHFR1/ACX1/ABA1",6
