"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir07Ox-b26220.2",1.47935341922841e-61,2.33952266560181,0.809,0.302,2.90840882220306e-57,"Chir07Ox-b26220.2"
"Chir03Ox-b14240.2",9.0444553859573e-43,0.928417078693912,0.694,0.302,1.77813992887921e-38,"Chir03Ox-b14240.2"
"Chir07Ox-b35230.2",6.76091918239694e-79,1.30789952016867,0.838,0.306,1.32919671125924e-74,"Chir07Ox-b35230.2"
"Chir03Ox-b16040.2",9.70201785565834e-34,0.68226735788129,0.653,0.307,1.90741671042243e-29,"Chir03Ox-b16040.2"
"Chir02Ox-b27560.2",3.14164813475357e-27,0.50429422251445,0.636,0.31,6.17648023292552e-23,"Chir02Ox-b27560.2"
"Chir06Ox-b31500.2",3.257986823752e-41,1.26026526863167,0.751,0.316,6.40520209549643e-37,"Chir06Ox-b31500.2"
"Chir05Ox-b20170.2",1.45054808428892e-34,0.767398629470246,0.659,0.326,2.85177753371202e-30,"Chir05Ox-b20170.2"
"Chir06Ox-b34280.2",1.00960507354351e-28,0.67252165886924,0.642,0.331,1.98488357458655e-24,"Chir06Ox-b34280.2"
"Chir01Ox-b12150.2",1.15629527140402e-26,0.62197890134024,0.636,0.332,2.2732765035803e-22,"Chir01Ox-b12150.2"
"Chir07Ox-b17370.2",3.14886094919584e-29,0.841132932737313,0.659,0.335,6.19066062611902e-25,"Chir07Ox-b17370.2"
"Chir04Ox-b25580.2",5.36569989252034e-39,1.75588425547983,0.723,0.336,1.0548965988695e-34,"Chir04Ox-b25580.2"
"Chir06Ox-b32290.2",3.25438801583737e-78,1.84459237069176,0.838,0.337,6.39812683913626e-74,"Chir06Ox-b32290.2"
"Chir05Ox-b21070.2",6.69139501568369e-77,1.39971839561422,0.861,0.34,1.31552826008341e-72,"Chir05Ox-b21070.2"
"Chir06Ox-b00810.2",8.77009626871815e-39,0.815052814501081,0.694,0.34,1.72420092642999e-34,"Chir06Ox-b00810.2"
"Chir05Ox-b12670.2",5.43026323175431e-46,1.2868091552556,0.728,0.342,1.0675897513629e-41,"Chir05Ox-b12670.2"
"Chir07Ox-b30520.2",2.12104351708287e-63,1.26208625797362,0.832,0.343,4.16997155458492e-59,"Chir07Ox-b30520.2"
"Chir08Ox-b29460.2",3.71772458494776e-55,1.02914742164679,0.803,0.348,7.3090465340073e-51,"Chir08Ox-b29460.2"
"Chir07Ox-b22660.2",3.66355379684345e-42,1.10829629535046,0.705,0.353,7.20254676459423e-38,"Chir07Ox-b22660.2"
"Chir01Ox-b10080.2",1.96948732383598e-52,1.42479087720641,0.803,0.354,3.87201207866154e-48,"Chir01Ox-b10080.2"
"Chir04Ox-b29110.2",4.36414326249637e-31,0.673046132458812,0.671,0.363,8.57990565406786e-27,"Chir04Ox-b29110.2"
"Chir02Ox-b08430.2",6.17932407058503e-58,2.78220143258619,0.855,0.367,1.21485511227702e-53,"Chir02Ox-b08430.2"
"Chir07Ox-b32770.2",9.37585644503257e-32,0.607216093816944,0.688,0.381,1.8432933770934e-27,"Chir07Ox-b32770.2"
"Chir03Ox-b23910.2",5.75275021402711e-37,1.62414315982774,0.751,0.384,1.13099069207773e-32,"Chir03Ox-b23910.2"
"Chir03Ox-b04110.2",4.43640122295541e-46,1.02983635394746,0.723,0.387,8.72196480433034e-42,"Chir03Ox-b04110.2"
"Chir08Ox-b18610.2",1.06156372000681e-35,0.717270511548926,0.717,0.391,2.08703427353338e-31,"Chir08Ox-b18610.2"
"Chir03Ox-b18320.2",8.94283426418524e-51,1.15088446114698,0.792,0.41,1.75816121633882e-46,"Chir03Ox-b18320.2"
"Chir06Ox-b25980.2",2.03823075944136e-42,0.838051619142066,0.786,0.424,4.00716167306171e-38,"Chir06Ox-b25980.2"
"Chir07Ox-b18200.2",1.22031220425927e-60,1.46265323868996,0.873,0.431,2.39913379357372e-56,"Chir07Ox-b18200.2"
"Chir03Ox-b18860.2",1.17413153213183e-59,1.29758728287664,0.827,0.434,2.30834259217119e-55,"Chir03Ox-b18860.2"
"Chir07Ox-b35310.2",1.6892916972693e-67,1.68227959537546,0.902,0.45,3.32114747683144e-63,"Chir07Ox-b35310.2"
"Chir01Ox-b02710.2",2.30325440637667e-42,0.742472246678459,0.803,0.459,4.52819816293653e-38,"Chir01Ox-b02710.2"
"Chir03Ox-b03910.2",2.69325380010757e-29,1.18001608340565,0.763,0.46,5.29493697101148e-25,"Chir03Ox-b03910.2"
"Chir04Ox-b09230.2",3.66880497430706e-46,1.04114083232931,0.803,0.463,7.21287057948768e-42,"Chir04Ox-b09230.2"
"Chir01Ox-b20420.2",7.13973797781025e-36,0.707619532297246,0.786,0.468,1.4036724864375e-31,"Chir01Ox-b20420.2"
"Chir07Ox-b27800.2",2.04068674608346e-39,1.03042608679968,0.798,0.484,4.01199014280008e-35,"Chir07Ox-b27800.2"
"Chir05Ox-b04050.2",1.33637834255439e-49,1.14294764011879,0.821,0.518,2.62731982146193e-45,"Chir05Ox-b04050.2"
"Chir07Ox-b35870.2",3.26834844629752e-32,0.869092352168605,0.85,0.519,6.42557304542093e-28,"Chir07Ox-b35870.2"
"Chir04Ox-b00710.2",1.02641260032031e-33,0.962329104572068,0.832,0.524,2.01792717222974e-29,"Chir04Ox-b00710.2"
"Chir08Ox-b24290.2",1.87225968742025e-44,0.898407526751869,0.855,0.541,3.6808625454682e-40,"Chir08Ox-b24290.2"
"Chir01Ox-b10400.2",1.75880821340175e-41,1.15660862423336,0.861,0.546,3.45781694754784e-37,"Chir01Ox-b10400.2"
"Chir07Ox-b14810.2",4.67033272790209e-52,1.78561979781795,0.913,0.562,9.18187414305551e-48,"Chir07Ox-b14810.2"
